"schema","uuid","id","title","abstract","category","metadatacreationdate","date-publication","keyword","keyword-geonetwork.thesaurus.external.place.regions","contact-originator","geoBox","LegalConstraints","link","format","image","contact-pointOfContact","date-creation","date-revision","contact-resourceProvider","keyword-1","keyword-2","keyword-3","contact-principalInvestigator","contact-custodian","contact-owner","contact-publisher","contact-distributor","keyword-4","keyword-5","keyword-6","keyword-7","contact-author","contact-"
"iso19139","a1e2191d-bdd6-4350-9691-1d72e74e2092","37564","RICCAR, MENA Region - Vulnerability Assessment - Sensitivity - Manmade: Wastewater Treatment","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of Sensitivity to climate change impact for the Manmade dimension indicator – Wastewater Treatment - in the Middle East and North Africa Region. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the Intergovernmental Panel on Climate Change (IPCC) in its Fourth Assessment Report (AR4). Within this conceptual framework, Sensitivity provides information about the status quo of the physical and natural environment that makes the affected systems particularly susceptible to climate change. Sensitivity indicators were clustered into three dimensions: population, natural, and manmade. Within the vulnerability assessment methodology, it is assumed the indicators retain the same values for reference period and future periods. A class value of 1 was assigned to represent a favorable condition (low sensitivity) while a class value of 10 designates an unfavorable condition.","dataset","2020-12-08T11:39:03","2019-08-15","Vulnerability###Sensitivity###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.84847###-1.67486999###37.38346333","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/PISMM###https://io.apps.fao.org/gismgr/api/v1/RICCAR/PISMM/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/map_classified_VAI_SEN_MNM_WWT.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/geotiff_VAI_SEN_MNM_WWT.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/data_classified_VAI_SEN_MNM_WWT.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/data_actual_values_VAI_SEN_MNM_WWT.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/classes_VAI_SEN_MNM_WWT.xlsx###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/map_actual_values_VAI_SEN_MNM_WWT.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Vulnerability%20Assessment%20Indicators/Potential%20Impact/Sensitivity/Manmade/Wastewater%20Treatment/factsheet_VAI_SEN_MNM_WWT.pdf###https://data.apps.fao.org/static/data/?prefix=static%2Fdata%2FRICCAR%2FMENA%2FVulnerability%20Assessment%2FVulnerability%20Assessment%20Indicators%2FPotential%20Impact%2FSensitivity%2FManmade%2FWastewater%20Treatment","GeoTIFF","https://data.apps.fao.org:/map/catalog/srv/api/records/a1e2191d-bdd6-4350-9691-1d72e74e2092/attachments/thumbnail3004764079374528933.png","","","","","","","","","","","","","","","","","",""
"iso19139","986b2601-a822-4526-a270-c158134ad97b","48655","Interception (Awash, Ethiopia - Dekadal - 30m)","The Interception (I) data component (dekadal, in mm/day) represents the evaporation of intercepted rainfall from the vegetation canopy. Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The value of each pixel represents the average daily evaporated interception for that specific dekad. The data is provided in near real time from January 2009 to present.","dataset","2022-02-03T10:03:17","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Autogenerated###Dekadal###Africa and Near East###Ethiopia###Awash","Africa","FAO-UN/ wapor@fao.org","32.99###47.979###3.4033###14.88","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_AWA_I_D/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_AWA_I_D","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l3_awa_i_d","","","","","","","","","","","","","","","","","",""
"iso19139","46691b3c-9f41-4bd1-bea3-dcec11010ca7","59491","Percolation (Litani River Basin, Lebanon - Monthly - 100m)","Percolation calculated Litani River Basin area in Lebanon. The percolation (perco) is the amount of soil moisture in the root zone that leaks deeper contributing to groundwater recharge. The calculation of percolation is based on a pixel-based soil moisture balance model. More information can be found on the Water Accounting report of Litani (FAO and IHE Delft, 2019).","dataset","2022-05-31T08:02:46","2019-06","Water Accounting###Water###Soil moisture balance model###WaPOR###WaPOR_2_Basin###WA+###Monthly###Litani River Basin###Lebanon###Africa and Near East","Asia","IHE-Delft/ b.tran@un-ihe.org","35.20###36.40###33.09###34.06","license###Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC- SA 3.0 IGO)","https://io.apps.fao.org/geoserver/wms/WATER/LBN_LIT_PERCO/v2?request=GetCapabilities&service=WMS&version=1.1.1","netCDF","","","","","","","","","","","","","","","","","","",""
"iso19139","d6169455-7246-408a-93a5-e418f51f8fe5","48582","Evaporation (Busia, Kenya - Dekadal - 30m)","The Evaporation (E) data component (dekadal, in mm/day) is the actual evaporation of the soil surface. The value of each pixel represents the average daily actual evaporation for that specific dekad. The data is provided in near real time from January 2009 to present.","dataset","2022-01-31T13:38:01","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Dekadal###Africa and Near East###Kenya###Busia","Africa","FAO-UN/ wapor@fao.org","33.89###41.885###-4.6775###5.0304","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_BUS_E_D/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_BUS_E_D","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l3_bus_e_d","","","","","","","","","","","","","","","","","",""
"iso19139","1c6e3219-5525-4862-8a31-6221418595b6","48636","Evaporation (Zankalon, Egypt - Annual - 30m)","The Evaporation (E) data component is the actual evaporation of the soil surface. The value of each pixel represents the total annual evaporation for that specific year. The data is provided in near real time from January 2009 to present.","dataset","2022-01-31T10:06:09","2020-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Autogenerated###Annual###Africa and Near East###Egypt###Zankalon","Africa","FAO-UN/ wapor@fao.org","24.69###36.90###21.99###31.66","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_ZAN_E_A/v2?service=WMS&version=1.3.0&request=GetCapabilities###https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_ZAN_E_A","TIF","https://io.apps.fao.org/geoserver/wms/reflect?layers=WAPOR_2:l3_zan_e_a","","","","","","","","","","","","","","","","","",""
"iso19139","c71bf89e-61e9-4e6d-ac63-d1093cee3c42","52235","Above Ground Biomass Production (Stung Chinit, Cambodia - Seasonal - 30m)","Above Ground Biomass Production for the Stung Chinit irrigation scheme command area identified by the ADB project in the Kampong Cham Province of Cambodia. The Above Ground Biomass Production is estimated from remote sensing energy balance model (SEBAL) on Landsat 8 OLI and meteo data, aggregated over main growing seasons (December to April) 2017, 2018 and 2019.","dataset","2022-08-23T10:35:44","2020","AGBP###Consumptive use###Irrigation###Biomass###Main growing season 2017###Main growing season 2018###Main growing season 2019###Water Productivity###ADB###Seasonal###Stung Chinit###Kampong Cham###Cambodia","","IWMI-HQs/ k.matheswaran@cgiar.org","102.31###107.61###10.416###14.705","copyright","https://io.apps.fao.org/geoserver/wms/WATER/KHM_SC_AGBP_S/v2?service=WMS&version=1.3.0&request=GetCapabilities","GeoTIFF","","","","","","","","","","","","","","","","","","",""
"iso19139","ab8e470e-6932-4c18-bf1f-64a13249154c","52273","Precipitation minus actual evapotranspiration (Tonle Sap, Cambodia - Monthly - 250m)","Precipitation minus actual evapotranspiration (P-ET) calculated over the Tonle Sap river basin area. The P-ET is the difference between CHIRPS data and US SSEBop evapotranspiration.","dataset","2022-08-09T11:16:30","2020","Evapotranspiration###Precipitation###Water Accounting###ADB###Monthly###Tonle Sap basin###Cambodia","India","IHE-Delft/ e.salvadore@un-ihe.org","102.31###107.61###10.416###14.705","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC- SA 3.0 IGO)","https://io.apps.fao.org/geoserver/wms/WATER/KHM_P_ET/v2?service=WMS&version=1.3.0&request=GetCapabilities","netCDF","","","","","","","","","","","","","","","","","","",""
"iso19139","113d481a-cd6d-41ad-a268-e069037e882b","37657","RICCAR, MENA Region - SU40 - Change in Annual Very Hot Days (RCM Ensemble for near-,mid-,end-century)","This raster dataset provides a representation of the change in the extreme temperature index Annual SU40- Annual Very Hot Days (number of days when daily maximum temperature > 40ºC) in the Middle East and North Africa Region. The Regional Climate Model (RCM) ensemble adopts the time periods generally used by the Intergovernmental Panel for Climate Change (IPCC) and other regional climate modelling experiments. It runs climate simulations based on three future time periods that are compared with a historical reference period. Available at 50km pixel resolution, for future time periods; Near, Mid and End-century, the raster grids are generated for moderate and high representative concentration pathways (RCPs), climate change scenarios developed by the IPCC for informing global and regional climate modelling work (RCP4.5 and RCP8.5). The adopted time periods are: - Near-Century (2016-2035); - Mid-Century (2046-2065); - End-Century (2081-2100).","dataset","2019-11-12T09:40:28","2019-07-20","Climate###Climate change###Very hot days###RICCAR###MENA - Middle East North Africa###Arab Region","","/","-26.61999989###75.46001339###-6.81999993###45.10000682","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/RICCAR/1/RCM_SU40A_F###https://io.apps.fao.org/gismgr/api/v1/RICCAR/RCM_SU40A_F/wms?VERSION=1.1.1","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/113d481a-cd6d-41ad-a268-e069037e882b/thumbnail/rcm_su40a_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","4c66ccf8-11b9-42dc-82a5-ac8bc0385e1d","37859","Vulnerability Assessment Exposure Indicators (HYPE RHM Output - Future)","RICCAR, MENA Region - Vulnerability Assessment Exposure Indicators (HYPE RHM Output - Future) This raster dataset provides a representation of future levels of exposure for the indicators derived from hydrological model Hydrological Predictions for the Environment (HYPE), in the Middle East and North Africa Region. In the context of climate change, exposure refers to changes in climate parameters that might affect socio-ecological systems. Using on the open-source hydrological model HYPE and bias-corrected Regional Climate Models (RCM) results as inputs, the Regional Hydrological Model (RHM) ensemble is employed to assess hydrological change based on future climate projections. The RHM ensemble adopts the same time periods used by the Intergovernmental Panel for Climate Change (IPCC) and other regional climate modelling experiments. It runs climate simulations based on three future time periods that are compared with a historical reference period. Available at approximately 1km pixel resolution, for future time periods; Near, Mid and End-century, the raster grids are generated for moderate and high representative concentration pathways (RCPs), emission scenarios developed by the IPCC for informing global and regional climate modelling work (RCP4.5 and RCP8.5). Grid pixel values are classified according to a level of exposure (1 to 10), for the indicators, Evapotranspiration and Runoff. The adopted time periods are: Near-Century (2016-2035); Mid-Century (2046-2065); End-Century (2081-2100).","dataset","2019-12-05T08:00:35","2019-08-08","Vulnerability###Exposure Indicators###RICCAR###Climate change###Hydrology###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.84847###-1.67487###37.38346333","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/RICCAR/3/RHMOF###https://io.apps.fao.org/gismgr/api/v1/RICCAR/RHMOF/wms?VERSION=1.1.1","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/4c66ccf8-11b9-42dc-82a5-ac8bc0385e1d/thumbnail/rhmo_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","9b451068-e233-4cfc-9bc6-01bfe4012bca","37618","RICCAR, MENA Region - Q - Monthly Runoff (HYPE RHM Ensemble for reference period)","This raster dataset provides a representation of the Monthly Runoff in the Middle East and North Africa Region, for the reference period 1986-2005. Bias-corrected Regional Climate Models (RCM) results serve as inputs for the generation of the Regional Hydrological Model (RHM) ensemble using the open-source hydrological model HYPE (Hydrological Predictions for the Environment). The RHM is applied to assess hydrological change using future climate projections and can accommodate large datasets spanning timescales exceeding 100 years. The RHM ensemble adopts the time periods used by the Intergovernmental Panel for Climate Change (IPCC) and other regional climate modelling experiments. It runs climate simulations based on three future time periods that are compared with a historical reference period. Available for 1986-2005 reference period, the 0,19 degree (approx. 21km) pixel resolution raster grids are generated for Moderate and High representative concentration pathways (RCPs), climate change scenarios developed by the IPCC for informing global and regional climate modelling work: RCP4.5 and RCP8.5.","dataset","2019-11-12T09:40:07","2019-07-30","Hydrology###Runoff###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.54583359###59.78416641###-5.60000038###42.08999962","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/2/ROMRP###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/9b451068-e233-4cfc-9bc6-01bfe4012bca/thumbnail/rhm_rom_rp.png","","","","","","","","","","","","","","","","","",""
